Бренд;Название;Цена после скидки;Цена до скидки;Рейтинг;Оценки;Артикул;Ссылка
OneFit;Гантели неопреновые для фитнеса 2 шт по 1,5 кг;889,0;2179,0;5,0;8192;142213412;https://www.wildberries.ru/catalog/142213412/detail.aspx?targetUrl=SP
FitnessLive;Штанга разборная спорт фитнес инвентарь в кейсе набор 20 кг;5557,0;72179,0;5,0;364;262365921;https://www.wildberries.ru/catalog/262365921/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 1 кг;753,0;19580,0;5,0;3033;100538197;https://www.wildberries.ru/catalog/100538197/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 2 кг;1435,0;3390,0;5,0;12360;138925471;https://www.wildberries.ru/catalog/138925471/detail.aspx?targetUrl=SP
FitnessLive;Штанга спортивная разборная гантели разборные 40 кг спорт;5669,0;24868,0;5,0;364;289903782;https://www.wildberries.ru/catalog/289903782/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 2,5 кг;1724,0;4071,0;5,0;12360;106696499;https://www.wildberries.ru/catalog/106696499/detail.aspx?targetUrl=SP
Starfit;Гантель гексагональная обрезиненная 4 кг 2 шт не разборные;3156,0;8722,0;5,0;869;288519004;https://www.wildberries.ru/catalog/288519004/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 1,5 кг;974,0;4366,0;5,0;5637;140099691;https://www.wildberries.ru/catalog/140099691/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 1 кг;715,0;2113,0;5,0;12360;131686501;https://www.wildberries.ru/catalog/131686501/detail.aspx?targetUrl=SP
SYNErgy sport;Гантели для фитнеса разборные 1кг 2кг 3кг 4кг;2388,0;4431,0;5,0;8;323659403;https://www.wildberries.ru/catalog/323659403/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 3 кг;1872,0;16214,0;5,0;12360;138925472;https://www.wildberries.ru/catalog/138925472/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 1 кг;760,0;2102,0;5,0;12360;200144468;https://www.wildberries.ru/catalog/200144468/detail.aspx?targetUrl=SP
SYNErgy sport;Гантели для фитнеса разборные 1кг 2кг 3кг 4кг;2388,0;4431,0;5,0;8;323658019;https://www.wildberries.ru/catalog/323658019/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 2 кг;1009,0;2914,0;5,0;12360;245074210;https://www.wildberries.ru/catalog/245074210/detail.aspx?targetUrl=SP
