Бренд;Название;Цена после скидки;Цена до скидки;Рейтинг;Оценки;Артикул;Ссылка
Startit;Гантели упоры для отжиманий 2 шт 2,5 кг;1234,0;4219,0;5,0;5637;321057450;https://www.wildberries.ru/catalog/321057450/detail.aspx?targetUrl=SP
PROIRON;Гантели 1 кг 2 шт неопреновые для фитнеса;785,0;1500,0;5,0;673;201962115;https://www.wildberries.ru/catalog/201962115/detail.aspx?targetUrl=SP
Starfit;Гантель гексагональная обрезиненная 1 кг 2 шт не разборные;1008,0;3047,0;5,0;869;288504434;https://www.wildberries.ru/catalog/288504434/detail.aspx?targetUrl=SP
Starfit;Гантель разборная обрезиненная в коробке 16 кг 1шт;9153,0;38349,0;5,0;1532;147711899;https://www.wildberries.ru/catalog/147711899/detail.aspx?targetUrl=SP
Kettler;Гантель;6390,0;8299,0;5,0;37;151877166;https://www.wildberries.ru/catalog/151877166/detail.aspx?targetUrl=SP
Atemi;Гантели неопреновые для фитнеса и аэробики 1 шт 4 кг;1144,0;2509,0;5,0;778;167668371;https://www.wildberries.ru/catalog/167668371/detail.aspx?targetUrl=SP
UP&UP;Гантели 3 кг 2 шт, общий вес набора 6 кг;808,0;1050,0;5,0;137;275523531;https://www.wildberries.ru/catalog/275523531/detail.aspx?targetUrl=SP
Kettler;Гантель гексагональная обрезиненная, 15 кг;6005,0;7799,0;5,0;37;171695164;https://www.wildberries.ru/catalog/171695164/detail.aspx?targetUrl=SP
UP&UP;Гантели 2 кг 2 шт, общий вес набора 4 кг;654,0;850,0;5,0;137;275514553;https://www.wildberries.ru/catalog/275514553/detail.aspx?targetUrl=SP
Euro classic;Гантели 10 кг 2 штуки в наборе общий вес 20 кг;2310,0;3000,0;5,0;28214;246851762;https://www.wildberries.ru/catalog/246851762/detail.aspx?targetUrl=SP
Athlex;Гантель гексагональная обрезиненная, 15 кг;7391,0;9599,0;5,0;1;207442831;https://www.wildberries.ru/catalog/207442831/detail.aspx?targetUrl=SP
Torneo;Гантель наборная, 10 кг;4927,0;6399,0;5,0;2;160015269;https://www.wildberries.ru/catalog/160015269/detail.aspx?targetUrl=SP
Kettler;Гантель;1308,0;1699,0;5,0;16;151877332;https://www.wildberries.ru/catalog/151877332/detail.aspx?targetUrl=SP
Kettler;Гантель;2694,0;3499,0;5,0;22;151877190;https://www.wildberries.ru/catalog/151877190/detail.aspx?targetUrl=SP
Absolute Champion;Гантели разборные 40 кг. 2 шт. по 20 кг;6866,0;10020,0;5,0;171;272947646;https://www.wildberries.ru/catalog/272947646/detail.aspx?targetUrl=SP
PROFI-FIT;Гантели для спорта и фитнеса, набор 2 шт по 1 кг;1011,0;3456,0;5,0;589;86093455;https://www.wildberries.ru/catalog/86093455/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 0,5 кг;394,0;1191,0;5,0;12360;200143558;https://www.wildberries.ru/catalog/200143558/detail.aspx?targetUrl=SP
Absolute Champion;Гантели разборные с грифом набор 15 кг 2шт по 7,5 кг КАТ. 2;2807,0;4558,0;5,0;9;212371465;https://www.wildberries.ru/catalog/212371465/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 0,5 кг;403,0;2016,0;5,0;12360;106696511;https://www.wildberries.ru/catalog/106696511/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 3 кг;1789,0;10564,0;5,0;5637;137565075;https://www.wildberries.ru/catalog/137565075/detail.aspx?targetUrl=SP
Kama;Гантели 3 кг, 2 шт;2690,0;9706,0;5,0;63;252661351;https://www.wildberries.ru/catalog/252661351/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 0,5 кг;435,0;1530,0;5,0;4957;106696508;https://www.wildberries.ru/catalog/106696508/detail.aspx?targetUrl=SP
PROIRON;Гантели 1 кг 2 шт силиконовые для фитнеса;1141,0;2430,0;5,0;673;235759591;https://www.wildberries.ru/catalog/235759591/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 1 кг;616,0;4706,0;5,0;12360;245072538;https://www.wildberries.ru/catalog/245072538/detail.aspx?targetUrl=SP
Атлет;Гантель разборная 19,5 кг для фитнеса тренировок;2403,0;8670,0;5,0;8055;201039868;https://www.wildberries.ru/catalog/201039868/detail.aspx?targetUrl=SP
PROIRON;Гантели 1,5 кг 2 шт неопреновые для фитнеса;1047,0;2000,0;5,0;673;201962113;https://www.wildberries.ru/catalog/201962113/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 1,5 кг;942,0;3600,0;5,0;4957;106696501;https://www.wildberries.ru/catalog/106696501/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 2 кг;1379,0;6634,0;5,0;4957;106696509;https://www.wildberries.ru/catalog/106696509/detail.aspx?targetUrl=SP
Блин-да-Гриф;Гантели 3 кг виниловые для спорта и фитнеса женские детские;962,0;5000,0;5,0;8055;253597565;https://www.wildberries.ru/catalog/253597565/detail.aspx?targetUrl=SP
Starfit;Гантели для спорта и фитнеса 0,5 кг;562,0;2284,0;5,0;5637;245076727;https://www.wildberries.ru/catalog/245076727/detail.aspx?targetUrl=SP
STRONG BODY;Гантели неопреновые пара по 1 кг;918,0;2092,0;5,0;295;156619615;https://www.wildberries.ru/catalog/156619615/detail.aspx?targetUrl=SP
Sweethorse;Гантель 1кг, 2 шт;678,0;2100,0;5,0;22;157383278;https://www.wildberries.ru/catalog/157383278/detail.aspx?targetUrl=SP
PROIRON;Гантели 2 кг 2 шт неопреновые для фитнеса;1372,0;2377,0;5,0;673;201962110;https://www.wildberries.ru/catalog/201962110/detail.aspx?targetUrl=SP
PROIRON;Гантели 8 кг 2 шт обрезиненные для фитнеса;4496,0;7786,0;5,0;251;201962092;https://www.wildberries.ru/catalog/201962092/detail.aspx?targetUrl=SP
PROIRON;Гантели 1 кг 2 шт неопреновые для фитнеса;785,0;1500,0;5,0;673;201962109;https://www.wildberries.ru/catalog/201962109/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 1 кг 2 штуки;571,0;1401,0;5,0;2669;142213405;https://www.wildberries.ru/catalog/142213405/detail.aspx?targetUrl=SP
BODY BELLS;Гантели 2 кг неопреновые для фитнеса спорта детей;1097,0;1425,0;5,0;2949;154597869;https://www.wildberries.ru/catalog/154597869/detail.aspx?targetUrl=SP
MELA;Гантели для фитнеса 2 кг 2 шт;2765,0;7980,0;5,0;536;208516248;https://www.wildberries.ru/catalog/208516248/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 0,5 кг 2 штуки;498,0;966,0;5,0;2669;236920539;https://www.wildberries.ru/catalog/236920539/detail.aspx?targetUrl=SP
Summus;Гантели для фитнеса обрезиненные 1 кг;637,0;1428,0;5,0;10274;120729785;https://www.wildberries.ru/catalog/120729785/detail.aspx?targetUrl=SP
Summus;Гантели для фитнеса 1 кг 2 шт;579,0;1421,0;5,0;10274;164932922;https://www.wildberries.ru/catalog/164932922/detail.aspx?targetUrl=SP
Starfit;Гантель для спорта и фитнеса виниловая 5 кг 1 шт;2448,0;8834,0;5,0;871;106738267;https://www.wildberries.ru/catalog/106738267/detail.aspx?targetUrl=SP
MELA;Гантели для фитнеса 1 кг 2 шт;1933,0;5580,0;5,0;536;78086078;https://www.wildberries.ru/catalog/78086078/detail.aspx?targetUrl=SP
;Гантели для фитнеса 1 кг 2 штуки;789,0;2500,0;5,0;86;267367623;https://www.wildberries.ru/catalog/267367623/detail.aspx?targetUrl=SP
Summus;Гантели для фитнеса обрезиненные 1 кг;637,0;1428,0;5,0;10274;120729789;https://www.wildberries.ru/catalog/120729789/detail.aspx?targetUrl=SP
SYNErgy sport;Гантели для фитнеса разборные 1кг 2кг 3кг 4кг;2388,0;4431,0;5,0;8;323658258;https://www.wildberries.ru/catalog/323658258/detail.aspx?targetUrl=SP
Summus;Гантели неопреновые 2 шт по 1,5 кг;1009,0;1725,0;5,0;10274;149038250;https://www.wildberries.ru/catalog/149038250/detail.aspx?targetUrl=SP
Starfit;Гантель гексагональная обрезиненная 5 кг 2 шт не разборные;3823,0;10796,0;5,0;869;288530962;https://www.wildberries.ru/catalog/288530962/detail.aspx?targetUrl=SP
PROIRON;Гантели 1,5 кг 2 шт силиконовые для фитнеса;1279,0;3195,0;5,0;673;235760397;https://www.wildberries.ru/catalog/235760397/detail.aspx?targetUrl=SP
Hurricane;Гантели для спорта и фитнеса виниловые 0,5 кг 2 штуки;462,0;1200,0;5,0;19;274343072;https://www.wildberries.ru/catalog/274343072/detail.aspx?targetUrl=SP
ProRun;Набор гантелей разборных 10 кг с коннектором;1490,0;3950,0;5,0;2434;314914554;https://www.wildberries.ru/catalog/314914554/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные гексогональные для фитнеса 0,5 кг;450,0;1125,0;5,0;10274;325789559;https://www.wildberries.ru/catalog/325789559/detail.aspx?targetUrl=SP
Hurricane;Гантель для спорта и фитнеса гексагональная 5 кг 1 штука;1593,0;4140,0;5,0;192;213705059;https://www.wildberries.ru/catalog/213705059/detail.aspx?targetUrl=SP
PROIRON;Гантель 14 кг 1 шт обрезиненная для фитнеса;4398,0;8400,0;5,0;251;201962096;https://www.wildberries.ru/catalog/201962096/detail.aspx?targetUrl=SP
PROIRON;Гантель 12 кг 1 шт обрезиненная для фитнеса;3722,0;6714,0;5,0;251;201962093;https://www.wildberries.ru/catalog/201962093/detail.aspx?targetUrl=SP
Starfit;Гантели виниловые для фитнеса 1,5 кг 1 шт;734,0;2327,0;5,0;871;27327552;https://www.wildberries.ru/catalog/27327552/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 1 кг 2 штуки;652,0;1461,0;5,0;2669;142213388;https://www.wildberries.ru/catalog/142213388/detail.aspx?targetUrl=SP
MELA;Гантели для фитнеса 1 кг 2шт;2019,0;5580,0;5,0;536;208516247;https://www.wildberries.ru/catalog/208516247/detail.aspx?targetUrl=SP
STRONG BODY;Гантели гексагональные 2 кг 2 шт (пара);1495,0;4317,0;5,0;73;158452642;https://www.wildberries.ru/catalog/158452642/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные для фитнеса 2 кг 2 шт;1119,0;2507,0;5,0;5127;149519466;https://www.wildberries.ru/catalog/149519466/detail.aspx?targetUrl=SP
Сима-Ленд & ONLYTOP;Гантель для плавания и аквааэробики;573,0;1656,0;5,0;160;257389758;https://www.wildberries.ru/catalog/257389758/detail.aspx?targetUrl=SP
Атлант;Гантель металлическая разборная 16 кг;4759,0;7187,0;5,0;52;17679017;https://www.wildberries.ru/catalog/17679017/detail.aspx?targetUrl=SP
Summus;Гантели неопреновые для фитнеса 2 шт по 1 кг;674,0;1510,0;5,0;10274;114235725;https://www.wildberries.ru/catalog/114235725/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные гексогональные для фитнеса 0,5 кг;450,0;1125,0;5,0;10274;325789929;https://www.wildberries.ru/catalog/325789929/detail.aspx?targetUrl=SP
Starfit;Гантель неопреновая для спорта и фитнеса 0,5 кг 1 шт;367,0;9540,0;5,0;805;100538202;https://www.wildberries.ru/catalog/100538202/detail.aspx?targetUrl=SP
INDIGO Sport;Гантель литая обрезиненная 10 кг;4068,0;7770,0;5,0;148;11226164;https://www.wildberries.ru/catalog/11226164/detail.aspx?targetUrl=SP
Hurricane;Гантель для спорта и фитнеса гексагональная 17,5 кг 1 штука;4940,0;10400,0;5,0;192;317742056;https://www.wildberries.ru/catalog/317742056/detail.aspx?targetUrl=SP
PROFI-FIT;Гантели для спорта и фитнеса, набор 2 шт по 4 кг;3944,0;12582,0;5,0;589;105067479;https://www.wildberries.ru/catalog/105067479/detail.aspx?targetUrl=SP
Summus;Гантели для фитнеса обрезиненные 1 кг;690,0;1547,0;5,0;10274;66837668;https://www.wildberries.ru/catalog/66837668/detail.aspx?targetUrl=SP
Yournewlevel;Набор гантелей 2 шт по 1 кг;881,0;2650,0;5,0;152;153821002;https://www.wildberries.ru/catalog/153821002/detail.aspx?targetUrl=SP
Hurricane;Гантель для спорта и фитнеса гексагональная 3 кг 1 штука;1309,0;3400,0;5,0;192;213705058;https://www.wildberries.ru/catalog/213705058/detail.aspx?targetUrl=SP
OneFit;Гантели неопреновые для фитнеса 2 шт. по 1 кг;628,0;1338,0;5,0;8192;142213427;https://www.wildberries.ru/catalog/142213427/detail.aspx?targetUrl=SP
Hurricane;Гантель для спорта и фитнеса гексагональная 2 кг 1 штука;1078,0;2800,0;5,0;192;213706046;https://www.wildberries.ru/catalog/213706046/detail.aspx?targetUrl=SP
Demix;Гантель, 3 кг;1462,0;1899,0;5,0;9;156358799;https://www.wildberries.ru/catalog/156358799/detail.aspx?targetUrl=SP
ProRun;Гантели 2 кг 2 штуки виниловые обрезиненные фитнес набор;1381,0;2990,0;5,0;1053;143250692;https://www.wildberries.ru/catalog/143250692/detail.aspx?targetUrl=SP
Kama;Гантели 5 кг, 2 шт;4076,0;14706,0;5,0;63;252661350;https://www.wildberries.ru/catalog/252661350/detail.aspx?targetUrl=SP
Kama;Гантели 4 кг, 2 шт;3383,0;12206,0;5,0;63;252661358;https://www.wildberries.ru/catalog/252661358/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 0,5 кг 2 штуки;438,0;966,0;5,0;2669;236920709;https://www.wildberries.ru/catalog/236920709/detail.aspx?targetUrl=SP
Hurricane;Гантели для спорта и фитнеса гексагональные 3 кг 2 штуки;2310,0;6000,0;5,0;192;327375039;https://www.wildberries.ru/catalog/327375039/detail.aspx?targetUrl=SP
Hurricane;Гантели для спорта и фитнеса гексагональные 5 кг 2 штуки;2849,0;7400,0;5,0;192;240348048;https://www.wildberries.ru/catalog/240348048/detail.aspx?targetUrl=SP
STRONG BODY;Гантели неопреновые пара по 2 кг;1392,0;4207,0;5,0;295;156619981;https://www.wildberries.ru/catalog/156619981/detail.aspx?targetUrl=SP
ProLine;Гантели неопреновые для фитнеса 2 кг 2 шт;1385,0;3394,0;5,0;41;245490138;https://www.wildberries.ru/catalog/245490138/detail.aspx?targetUrl=SP
OneFit;Гантели неопреновые для фитнеса 2 шт по 2 кг;1233,0;2288,0;5,0;5297;142213410;https://www.wildberries.ru/catalog/142213410/detail.aspx?targetUrl=SP
STRONG BODY;Гантели виниловые пара по 5 кг;2980,0;9216,0;5,0;117;158227808;https://www.wildberries.ru/catalog/158227808/detail.aspx?targetUrl=SP
PROFI-FIT;Гантели для спорта и фитнеса, набор 2 шт по 2 кг;1646,0;6291,0;5,0;589;96560745;https://www.wildberries.ru/catalog/96560745/detail.aspx?targetUrl=SP
Юг Пласт;Штанга и гантели детские;1599,0;1850,0;5,0;50;216502633;https://www.wildberries.ru/catalog/216502633/detail.aspx?targetUrl=SP
Gravity;Виниловые гантели, 5 кг, пара;2965,0;8955,0;5,0;3438;19177379;https://www.wildberries.ru/catalog/19177379/detail.aspx?targetUrl=SP
STRONG BODY;Гантели виниловые пара по 1 кг;903,0;2133,0;5,0;117;158230743;https://www.wildberries.ru/catalog/158230743/detail.aspx?targetUrl=SP
OneFit;Гантели 1 кг неопреновые 2 шт. для фитнеса;701,0;1359,0;5,0;8192;307367677;https://www.wildberries.ru/catalog/307367677/detail.aspx?targetUrl=SP
Espado;Гантель неопреновая 2 кг для фитнеса;674,0;1510,0;5,0;251;296207470;https://www.wildberries.ru/catalog/296207470/detail.aspx?targetUrl=SP
Summus;Гантели неопреновые для фитнеса 2 шт по 1 кг;674,0;1510,0;5,0;10274;110451945;https://www.wildberries.ru/catalog/110451945/detail.aspx?targetUrl=SP
;Гантели 0 5кг для спорта и фитнеса;378,0;1000,0;5,0;35;239064129;https://www.wildberries.ru/catalog/239064129/detail.aspx?targetUrl=SP
Start Up;Гантели для спорта и фитнеса неопреновые 1 кг 2 шт;807,0;1362,0;5,0;2366;222314609;https://www.wildberries.ru/catalog/222314609/detail.aspx?targetUrl=SP
Espado;Гантель неопреновая 4 кг для фитнеса;1254,0;2670,0;5,0;14;66829026;https://www.wildberries.ru/catalog/66829026/detail.aspx?targetUrl=SP
BRADEX;Гантель 2 кг для фитнеса обрезиненная виниловая;455,0;1182,0;5,0;33;11788708;https://www.wildberries.ru/catalog/11788708/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 1 кг 2 штуки;584,0;1308,0;5,0;2669;324997395;https://www.wildberries.ru/catalog/324997395/detail.aspx?targetUrl=SP
Hurricane;Гантели для спорта и фитнеса гексагональные 4 кг 2 штуки;2541,0;6600,0;5,0;192;240348050;https://www.wildberries.ru/catalog/240348050/detail.aspx?targetUrl=SP
ProRun;Набор гантелей разборных 15 кг с коннектором;1844,0;5990,0;5,0;2434;314914555;https://www.wildberries.ru/catalog/314914555/detail.aspx?targetUrl=SP
ProRun;Набор гантелей разборных 20 кг с коннектором;2337,0;7990,0;5,0;2434;314914556;https://www.wildberries.ru/catalog/314914556/detail.aspx?targetUrl=SP
Starfit;Гантель обрезиненная гексагональная 1 кг не разборная;551,0;1747,0;5,0;278;289169541;https://www.wildberries.ru/catalog/289169541/detail.aspx?targetUrl=SP
OneFit;Гантели неопреновые для фитнеса 2 шт. по 1 кг;716,0;1389,0;5,0;8192;142213420;https://www.wildberries.ru/catalog/142213420/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 1 кг 2 штуки;625,0;1401,0;5,0;2669;142213371;https://www.wildberries.ru/catalog/142213371/detail.aspx?targetUrl=SP
Espado;Гантель неопреновая 3 кг для фитнеса;1075,0;2290,0;5,0;22;66828346;https://www.wildberries.ru/catalog/66828346/detail.aspx?targetUrl=SP
MironFit;Гантель спортивная разборная 20 кг, 1шт;1798,0;4115,0;5,0;18;214865840;https://www.wildberries.ru/catalog/214865840/detail.aspx?targetUrl=SP
STRONG BODY;Гантели неопреновые пара по 1,5 кг;1240,0;3160,0;5,0;295;156619803;https://www.wildberries.ru/catalog/156619803/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 1 кг 2 штуки;625,0;1401,0;5,0;2669;142213380;https://www.wildberries.ru/catalog/142213380/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 2 кг 2 штуки;1200,0;2687,0;5,0;5297;142213394;https://www.wildberries.ru/catalog/142213394/detail.aspx?targetUrl=SP
STRONG BODY;Гантели виниловые пара по 2 кг;1422,0;3930,0;5,0;117;158229897;https://www.wildberries.ru/catalog/158229897/detail.aspx?targetUrl=SP
;Гантели для фитнеса 1 кг 2 штуки;770,0;2500,0;5,0;86;260740111;https://www.wildberries.ru/catalog/260740111/detail.aspx?targetUrl=SP
INDIGO Sport;Гантели 5 кг 2 штуки обрезиненные;3649,0;7770,0;5,0;378;156690583;https://www.wildberries.ru/catalog/156690583/detail.aspx?targetUrl=SP
Gravity;Виниловые гантели, 1кг, пара;635,0;2026,0;5,0;3438;19177374;https://www.wildberries.ru/catalog/19177374/detail.aspx?targetUrl=SP
Gravity;Виниловые гантели, 2кг, пара;1229,0;3713,0;5,0;3438;19177376;https://www.wildberries.ru/catalog/19177376/detail.aspx?targetUrl=SP
Hurricane;Гантель для спорта и фитнеса виниловая 2,5 кг 1 штука;954,0;2480,0;5,0;19;264096181;https://www.wildberries.ru/catalog/264096181/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные гексогональные для фитнеса 3 кг;1590,0;2792,0;5,0;5127;325773447;https://www.wildberries.ru/catalog/325773447/detail.aspx?targetUrl=SP
Hurricane;Гантели для спорта и фитнеса гексагональные 2 кг 2 штуки;1655,0;4300,0;5,0;192;327047859;https://www.wildberries.ru/catalog/327047859/detail.aspx?targetUrl=SP
STRONG BODY;Гантели виниловые пара по 3 кг;2217,0;6400,0;5,0;117;158228642;https://www.wildberries.ru/catalog/158228642/detail.aspx?targetUrl=SP
Summus;Гантели неопреновые для фитнеса 2 шт. по 3 кг;1913,0;2643,0;5,0;5127;33456908;https://www.wildberries.ru/catalog/33456908/detail.aspx?targetUrl=SP
STRONG BODY;Гантели неопреновые пара по 2,5 кг;1909,0;5275,0;5,0;295;156620123;https://www.wildberries.ru/catalog/156620123/detail.aspx?targetUrl=SP
;Гантели для фитнеса 1 кг 2 штуки;770,0;2500,0;5,0;86;260740112;https://www.wildberries.ru/catalog/260740112/detail.aspx?targetUrl=SP
Starfit;Гантель обрезиненная гексагональная 10 кг не разборная;5520,0;17071,0;5,0;278;289471661;https://www.wildberries.ru/catalog/289471661/detail.aspx?targetUrl=SP
PROFI-FIT;Гантели для спорта и фитнеса, набор 2 шт по 0,5 кг;618,0;1575,0;5,0;589;105005799;https://www.wildberries.ru/catalog/105005799/detail.aspx?targetUrl=SP
Hurricane;Гантели для спорта и фитнеса гексагональные 1 кг 2 штуки;924,0;2400,0;5,0;192;240348046;https://www.wildberries.ru/catalog/240348046/detail.aspx?targetUrl=SP
;Набор детских гантелей 2 шт по 0 5 кг;512,0;950,0;5,0;1;319122867;https://www.wildberries.ru/catalog/319122867/detail.aspx?targetUrl=SP
ProLine;Гантели неопреновые для фитнеса 4 кг 2 шт;2443,0;6347,0;5,0;41;245490140;https://www.wildberries.ru/catalog/245490140/detail.aspx?targetUrl=SP
Start Up;Гантель для спорта и фитнеса неопреновая 3 кг 1 шт;1032,0;1812,0;5,0;2366;51464609;https://www.wildberries.ru/catalog/51464609/detail.aspx?targetUrl=SP
INDIGO Sport;Гантели обливные с виниловым покрытием 1,5кг*2шт;1035,0;2538,0;5,0;700;11736909;https://www.wildberries.ru/catalog/11736909/detail.aspx?targetUrl=SP
PROFI-FIT;Гантели для спорта и фитнеса, набор 2 шт по 5 кг;4768,0;15687,0;5,0;589;105067478;https://www.wildberries.ru/catalog/105067478/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 1 кг 2 штуки;591,0;1371,0;5,0;2669;227162429;https://www.wildberries.ru/catalog/227162429/detail.aspx?targetUrl=SP
Summus;Гантели неопреновые для фитнеса 2 шт по 2 кг;1211,0;2248,0;5,0;5127;114236905;https://www.wildberries.ru/catalog/114236905/detail.aspx?targetUrl=SP
BORABO;Гантель разборная обрезиненная 19,5 кг;5999,0;10704,0;5,0;63;40953063;https://www.wildberries.ru/catalog/40953063/detail.aspx?targetUrl=SP
Сима-Ленд & ONLYTOP;Гантели;1083,0;2199,0;5,0;131;44057130;https://www.wildberries.ru/catalog/44057130/detail.aspx?targetUrl=SP
OneFit;Гантели неопреновые для фитнеса 2 шт по 1,5 кг;974,0;1665,0;5,0;8192;142213408;https://www.wildberries.ru/catalog/142213408/detail.aspx?targetUrl=SP
U-turn;Гантель регулируемая 24 кг;10742,0;19377,0;5,0;58;234035576;https://www.wildberries.ru/catalog/234035576/detail.aspx?targetUrl=SP
Hurricane;Гантель для спорта и фитнеса виниловая 4 кг 1 штука;1401,0;3640,0;5,0;19;264096183;https://www.wildberries.ru/catalog/264096183/detail.aspx?targetUrl=SP
BRADEX;Гантель 5 кг для фитнеса обрезиненная виниловая;1323,0;2786,0;5,0;188;212806453;https://www.wildberries.ru/catalog/212806453/detail.aspx?targetUrl=SP
OneFit;Гантели неопреновые 2 шт. по 4 кг;2227,0;4988,0;5,0;5297;312672105;https://www.wildberries.ru/catalog/312672105/detail.aspx?targetUrl=SP
OneFit;Гантели для фитнеса 1,5 кг 2 штуки;952,0;1847,0;5,0;2669;142213418;https://www.wildberries.ru/catalog/142213418/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные гексогональные для фитнеса 0,5 кг;424,0;1125,0;5,0;10274;325790212;https://www.wildberries.ru/catalog/325790212/detail.aspx?targetUrl=SP
LITE WEIGHTS;Гантели;1683,0;1772,0;5,0;5;40656412;https://www.wildberries.ru/catalog/40656412/detail.aspx?targetUrl=SP
INDIGO Sport;Гантели 1 кг 2 штуки обрезиненные;777,0;1554,0;5,0;378;156686469;https://www.wildberries.ru/catalog/156686469/detail.aspx?targetUrl=SP
STRONG BODY;Гантели виниловые пара по 4 кг;2451,0;7580,0;5,0;117;158228127;https://www.wildberries.ru/catalog/158228127/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные для фитнеса 0,5 кг;466,0;1164,0;5,0;10274;191129129;https://www.wildberries.ru/catalog/191129129/detail.aspx?targetUrl=SP
Starfit;Гантель обрезиненная гексагональная 8 кг не разборная;5480,0;21567,0;5,0;869;282404185;https://www.wildberries.ru/catalog/282404185/detail.aspx?targetUrl=SP
BRADEX;Гантель 1,5 кг неопреновая для фитнеса;569,0;1198,0;5,0;220;11788714;https://www.wildberries.ru/catalog/11788714/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные гексогональные для фитнеса 5 кг;2642,0;4515,0;5,0;5127;325791817;https://www.wildberries.ru/catalog/325791817/detail.aspx?targetUrl=SP
ProLine;Гантели неопреновые для фитнеса 3 кг 2 шт;1849,0;4803,0;5,0;41;245490139;https://www.wildberries.ru/catalog/245490139/detail.aspx?targetUrl=SP
Summus;Гантели обрезиненные гексогональные для фитнеса 2 кг;1087,0;2567,0;5,0;5127;325772961;https://www.wildberries.ru/catalog/325772961/detail.aspx?targetUrl=SP
INDIGO Sport;Гантели 6 кг 2 штуки обрезиненные;4379,0;9324,0;5,0;378;156691279;https://www.wildberries.ru/catalog/156691279/detail.aspx?targetUrl=SP
